Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1,2422,4,10,1787,9349,5235,19013
2,2549,4,14,2065,8710,4446,18025
3,2579,4,14,1905,8268,4889,17872
4,2508,3,14,1913,8667,3793,17109
5,2227,4,11,1959,8465,5127,18010
6,2554,3,16,1817,8577,3897,17084
7,2522,4,11,1853,8114,5307,18017
8,2261,5,15,1877,8350,4361,17074
9,2415,4,10,1783,8891,5642,18945
10,2403,3,15,1849,8396,4080,16957
11,2290,4,16,1926,8078,5419,17947
12,2258,4,19,2125,8334,3983,16933
13,2566,3,11,1875,8721,4598,17978
14,2279,3,12,1783,8181,4436,16907
15,2349,3,11,1851,8490,5091,17998
16,2597,3,12,1830,8326,3934,16912
17,2385,4,12,1876,8601,4908,17990
18,2230,4,13,1806,8015,3626,15898
19,2370,3,10,1844,8438,5157,18024
20,2021,3,14,1805,8313,3534,15896
21,2140,4,12,1856,8173,4646,17037
22,2312,4,13,2099,8572,4652,17859
23,2723,4,11,1883,9449,4773,19062
24,2281,3,13,1828,8328,4181,16846
25,2550,3,10,2083,8606,4706,18161
26,2180,3,13,1806,9618,3984,17814
27,2558,4,11,1830,8234,5237,18079
28,2357,4,13,1819,8484,3929,16811
29,2490,3,10,1877,8771,4758,18111
30,2371,4,15,1815,8282,4074,16776
31,2499,4,10,2199,8505,4693,18134
32,2303,4,17,1917,8530,3761,16756
33,2484,4,10,1918,8182,5316,18149
34,2488,4,12,1772,8583,4676,17744
35,2399,4,10,1829,8160,5203,17805
36,2220,4,14,1989,8428,4314,17185
37,2346,4,10,1794,8144,5228,17730
38,2176,3,12,1831,8367,4543,17154
39,2218,3,10,1802,8671,4842,17755
40,2190,3,12,1818,8107,4784,17136
41,2002,3,13,2238,8654,4649,17774
42,2210,4,13,1862,9743,4082,18123
43,2201,3,12,1860,9268,4248,17795
44,2319,4,13,1841,9143,4578,18109
45,2472,4,12,1830,9103,5182,18809
46,2372,4,15,1834,9261,4393,18087
47,2272,3,13,1834,9422,30244,44001
48,2303,3,12,1841,9341,3867,17578
49,2279,3,14,1792,9211,30240,43743
50,2490,4,14,2070,9422,393,14672
51,2647,3,15,1867,8533,4175,17458
52,2592,3,11,1838,8072,4636,17356
53,2697,3,11,1827,9168,4726,18640
54,2574,4,11,1882,8511,4175,17363
55,2806,4,13,1849,8187,4528,17608
56,2426,3,12,1804,9357,4580,18386
57,2491,4,14,1827,8545,4365,17458
58,2416,3,10,1828,8113,3825,16402
59,2329,4,13,1885,8476,4565,17491
60,2536,3,11,1850,8467,4357,17433
61,2232,3,12,1854,8020,4089,16422
62,2488,4,12,1817,8861,4088,17483
63,2396,3,17,1902,8445,4433,17402
64,2520,3,13,1787,8191,3758,16479
65,2489,4,16,1862,8386,4405,17390
