Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1,3209,7,19,2491,11106,5849,23016
2,3131,7,21,2410,11542,5572,23007
3,2599,7,19,2673,11641,5899,23176
4,3168,6,20,2494,11846,5443,23283
5,2562,7,19,2476,10664,5185,21234
6,2722,6,18,2545,11234,5395,22229
7,2581,6,18,2476,11149,4681,21228
8,2551,6,19,2336,11617,4386,21219
9,2312,7,17,2418,11130,5094,21297
10,1967,7,17,2542,10855,4538,20252
11,2059,6,18,2544,10748,5506,21189
12,2105,7,17,2690,11144,4679,20961
13,2386,6,19,2918,11880,4680,22202
14,2530,6,18,2390,10341,4514,20129
15,2128,7,18,2485,10564,4762,20253
16,2033,6,18,2325,10359,5197,20249
17,2222,6,17,2401,10607,4664,20220
18,2135,6,17,2397,11092,4284,20237
19,2037,6,17,2455,12702,4737,22263
20,2092,6,19,2450,11275,5094,21253
21,2035,5,17,2410,10948,4496,20222
22,2126,5,16,2341,10419,4982,20212
23,2061,6,18,2368,11475,4987,21213
24,2100,7,18,2472,10566,4710,20215
25,1978,6,19,2330,10311,5294,20237
26,2160,5,17,2557,9992,5181,20233
27,2209,5,17,2436,10560,4697,20243
28,1894,6,17,2443,10680,4854,20197
29,2255,6,19,2547,10339,4760,20240
30,1893,7,17,2424,11238,4366,20263
31,2079,5,18,2379,11028,5408,21235
32,2101,6,18,2457,10629,4731,20258
33,2089,6,18,2356,10880,6268,21923
34,2131,7,17,2457,10661,4666,20236
35,2133,7,18,2498,10863,5372,21204
36,2148,6,14,2392,10573,4469,19922
37,2246,5,16,2472,10545,4666,20265
38,2098,6,17,2444,10741,4611,20223
39,2018,7,19,2412,11110,5349,21211
40,2103,6,18,2439,11009,5400,21294
41,2131,7,18,2519,10145,5101,20240
42,1988,7,18,2465,10925,4521,20234
43,1957,6,18,2347,10332,5290,20250
44,2043,6,17,2499,9767,4579,19227
45,2092,6,17,2280,10358,6171,21238
46,2026,6,18,2347,10160,4366,19221
47,2387,6,17,2699,10297,4525,20233
48,2029,5,17,2389,10658,4828,20240
49,2136,7,18,2412,10113,30337,45327
50,2174,6,19,2301,11403,30361,46563
51,2129,5,14,2335,11199,30375,46349
52,2171,6,16,2450,10796,30370,46120
53,2430,6,20,2452,11228,30343,46777
54,2547,7,19,2338,11004,30357,46594
55,2087,5,17,2510,10778,4502,20205
56,2136,6,15,2302,10858,4532,20150
57,2127,5,16,2463,10909,4429,20241
58,2063,6,17,2470,11292,5081,21229
59,2151,5,18,2278,10999,4518,20281
60,2077,6,16,2539,10669,4625,20225
61,2456,7,16,2529,10472,4454,20242
62,2086,6,17,2411,10601,4520,19939
63,1953,6,17,2583,11093,5291,21251
64,2116,6,15,2386,10390,4993,20222
65,2115,6,18,2334,10250,5212,20243
66,2035,6,19,2286,10818,5456,20934
67,2221,4,13,2431,10074,5186,20230
68,2224,5,16,2356,10166,5184,20224
69,2075,6,16,2458,11025,4363,20252
70,2030,6,17,2723,11358,4727,21201
71,2041,6,17,2528,10434,4834,20192
72,2043,6,17,2444,10382,4960,20175
73,2360,7,18,2491,11229,4459,20914
74,2305,6,17,2793,11303,5148,21909
75,2212,6,17,2415,10777,4523,20245
76,2309,6,16,2503,11494,4607,21249
77,2012,6,18,2760,10563,4556,20234
78,2109,7,17,2424,10194,5182,20244
79,2175,6,17,2294,10718,4721,20235
80,2102,6,18,2461,10325,5012,20237
81,2340,7,18,2281,10278,5044,20272
82,2329,7,17,2631,10684,4254,20223
83,2172,6,17,2360,10745,5608,21224
84,2198,6,18,2394,10178,4847,19950
85,2066,6,18,2308,10891,4584,20171
86,2163,6,15,2230,12013,4497,21217
87,2093,6,18,2738,10412,4646,20235
88,2024,6,18,2538,10617,4697,20219
89,2124,7,19,2536,10785,4471,20253
90,2017,6,17,2439,10232,6900,21929
91,2002,7,16,2261,10897,4739,20222
92,2081,6,19,2416,10866,4538,20231
93,2068,6,16,2321,11515,4977,21221
94,2122,6,17,2376,10753,4673,20260
95,2127,6,17,2321,10154,5290,20227
96,2399,6,17,2716,10159,4626,20210
97,1997,6,16,2468,10904,4272,19963
98,2069,6,18,2555,10692,4597,20237
99,2067,6,18,2349,11400,5090,21228
100,2064,6,17,2716,10887,5215,21210
101,2036,5,16,2367,11570,4910,21223
102,2117,6,17,2597,10029,4833,19920
103,2360,6,19,2298,9805,5449,20234
104,2184,6,17,2337,10593,4803,20237
105,2208,7,17,2198,10722,4788,20227
106,2026,6,18,2382,10320,4868,19941
107,2230,6,18,2448,10881,5330,21228
108,2088,7,18,2479,10922,4441,20260
109,2088,6,18,2461,10771,30324,45979
110,2106,7,17,2599,10530,12640,28217
111,2022,6,18,2224,11477,7600,23649
112,1950,6,16,2250,11227,5315,21088
113,2172,7,26,2466,10725,5117,20817
114,2200,6,17,2578,10351,4799,20250
115,2322,6,17,2383,10497,30336,45867
116,2101,6,18,2336,10543,30359,45683
117,2129,6,18,2442,10854,30310,46066
118,2116,7,18,2328,10515,21670,36962
119,2100,6,18,2340,11369,4647,20794
120,2178,7,32,2648,10588,4239,20009
121,2138,6,19,2582,10599,4559,20209
122,2198,6,17,2329,10203,5177,20224
123,2106,7,19,2770,10592,4447,20258
124,2120,6,17,2251,10871,4652,20215
125,2178,6,18,2305,10743,4663,20227
126,2073,7,18,2391,10962,4475,20238
127,2062,6,18,2440,11054,4338,20231
128,2135,6,18,2334,11387,5043,21238
129,2040,6,18,2729,10944,5209,21245
130,2163,6,17,2406,10803,5231,20938
131,1868,6,18,2478,10634,4952,20259
132,2085,7,17,2338,10510,4984,20222
133,2106,6,16,2573,10412,4824,20251
134,2111,6,20,2412,11167,4918,20927
135,2008,6,17,2216,10040,5642,20231
136,2082,5,16,2328,10420,5102,20253
137,2113,6,17,2522,10284,4957,20215
138,2083,7,18,2458,11018,4310,20205
139,2537,6,18,2922,10811,4524,21137
140,2191,6,17,2510,10105,5071,20220
141,1989,6,16,2322,10349,4239,19223
142,2028,6,16,2503,10773,4613,20265
143,2279,7,18,2326,11401,4585,20938
144,2146,6,18,2388,10918,4440,20214
145,2006,6,19,2383,11340,4743,20807
146,2109,6,17,2281,11030,4486,20242
147,2081,7,18,2358,10145,4320,19251
148,2208,6,18,2412,10777,4497,20241
149,2179,6,19,2425,10844,5336,21124
150,2215,9,17,2676,10298,4730,20245
151,2181,7,17,2327,10593,4794,20232
152,2079,6,18,2387,10915,4491,20205
153,2256,5,19,2528,10605,4581,20297
154,2177,6,17,2482,10394,4850,20245
155,2250,6,19,2382,11023,5240,21229
156,2154,6,17,2610,10674,4479,20253
157,2537,7,19,2381,11742,4141,21134
158,2186,5,17,2324,10600,4794,20246
159,2155,7,17,2450,10633,4692,20268
160,2158,7,19,2663,11175,4913,21244
161,2272,6,16,2369,10327,4803,20112
162,2133,6,18,2304,11001,4473,20258
163,2064,6,18,2601,11719,4491,21218
164,2124,6,18,2559,10603,4629,20261
165,2259,7,18,2361,10767,4541,20253
166,2130,6,17,2474,10451,4864,20255
167,2149,6,19,2282,10802,4713,20278
168,2130,6,18,2286,10674,4813,20228
169,2165,7,19,2329,10469,4893,20207
170,2133,7,18,2414,10087,5246,20218
171,2032,6,17,2427,10345,5132,20261
172,1967,4,14,2279,10835,4815,20242
173,2183,6,18,2658,10172,4891,20222
174,2165,5,18,2446,10879,4375,20209
175,2205,7,17,2326,10858,5500,21222
176,2141,6,16,2294,10416,4830,20015
177,2025,6,18,2453,11599,4842,21263
178,2387,5,16,2360,10469,4419,19962
179,2044,7,17,2370,11124,4347,20204
180,1963,7,18,2441,11377,5106,21239
181,2496,6,16,2332,11141,4972,21268
182,2029,5,16,2323,11387,30352,46428
183,2080,6,15,2347,11388,30361,46509
184,2003,6,19,2519,12423,30326,47608
185,2363,7,18,2451,10921,30334,46400
186,2115,6,18,2275,11489,30325,46529
187,2387,6,17,2319,11134,24655,40837
188,2084,6,18,2421,11037,4368,20248
189,2324,7,17,2410,11653,4533,21255
190,2135,7,18,2497,10552,4727,20255
191,1879,6,17,2311,10849,4787,20152
192,2098,7,18,2348,10340,5091,20225
193,2022,6,20,2442,10319,5088,20199
194,2127,5,16,2235,10728,4852,20275
195,2114,6,19,2344,11296,5144,21237
196,2136,7,18,2374,10532,4540,19929
197,2185,7,18,2295,10668,4472,19944
198,2158,7,18,2591,11130,4986,21211
199,2179,9,18,2282,10785,4613,20198
200,2155,8,16,2341,10866,4416,20114
201,2223,6,17,2581,10651,5005,20804
202,2062,6,24,2795,11449,4551,21230
203,2023,6,19,2458,11286,4764,20886
204,2093,8,19,2840,11001,4522,20826
205,2184,7,18,2379,10237,5107,20257
206,2154,6,20,2623,10650,5090,20883
207,2243,7,19,2642,10892,5077,21221
208,2225,7,21,2513,11215,4918,21225
209,2246,6,18,2296,11080,4866,20826
210,2230,7,22,2593,10540,4051,19765
211,2227,7,20,2233,12093,5365,22267
212,2201,9,19,2381,10388,4499,19813
213,2211,7,18,2562,10862,5236,21239
214,2234,7,19,2341,11006,4837,20766
215,2082,8,19,2990,10922,4601,20948
216,2107,8,21,2537,10903,4852,20770
217,2159,7,19,2560,11375,4427,20900
218,2208,6,19,2482,11518,5201,21760
219,2246,8,19,2415,11028,4864,20878
220,2173,7,17,2578,11030,4952,21078
221,2170,6,18,2496,10775,5160,20935
222,2175,8,22,2616,10569,4386,20099
223,2294,8,18,2397,11146,5061,21232
